MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday
8,22.5,0,6.6,10.5,31,11,20,69,41,1036.5,1031.7,0
9.1,29.5,0,4.4,8.4,46,30,11,47,28,1030.1,1026.7,0
17.2,30.2,0,8,4.1,56,35,19,44,35,1024.7,1022.9,0
17.4,26.8,2.4,8.4,5.9,46,11,15,73,63,1019.6,1015.8,1
10.2,15.4,1.4,3.8,0.2,39,13,24,95,61,1019,1019.7,1
4.3,19.5,0,7,11.8,31,7,13,70,48,1025.1,1023,0
6.5,28.8,0,4.4,11.4,50,19,22,69,32,1023.9,1020.1,0
16.1,34.1,0,8.6,9.2,67,35,39,49,7,1018,1014.6,0
15.3,26.6,0,10.8,0.5,39,22,20,51,84,1016.5,1021.6,0
9.4,22.3,0.4,4.8,8,37,13,17,82,31,1025,1024.8,0
9.3,20.1,0,5.2,8.2,35,17,15,68,41,1029.9,1027.3,0
5.7,28.1,0,4.4,11.9,33,9,19,73,18,1025,1019.7,0
9.9,32.4,0,7,3,52,28,31,25,23,1016.3,1011.4,0
16.4,18.2,2.6,7.8,0.1,48,9,26,86,92,1012.7,1014.4,1
9.6,15.9,6.2,3,0,48,17,31,81,92,1019.6,1020.1,1
10,16.8,0.2,2,4.1,33,17,19,62,49,1023.6,1022.1,0
5.9,22,0,4,8.9,31,7,20,70,42,1023,1019.8,0
7.6,32.8,0,5,6.1,72,39,48,37,14,1016.6,1010.4,0
12.9,17.4,0,12.8,3.6,56,31,35,96,45,1017.7,1022.1,0
8.8,23.7,0.4,3.6,12.7,37,24,19,56,28,1027.2,1023.1,0
7.7,27.3,0,8,12,59,43,13,39,25,1022.5,1019.3,0
9.8,27.3,0,8,10.3,37,9,24,84,30,1022.7,1019.9,0
10.3,27.9,0,7.6,12.1,43,13,31,39,25,1019.7,1017.2,0
14,25.9,3,8.8,5,78,11,43,94,51,1015.3,1010.8,1
15,27,4.8,7,5.2,72,46,20,66,59,1008.3,1006.7,1
12.5,15.5,0.2,4,0.1,37,13,24,81,76,1012.6,1015.3,0
8.3,19,1,3.2,7.1,33,22,19,52,44,1019.7,1017.1,0
8.9,28,0,5.8,6.9,61,7,20,75,40,1015.5,1010.2,0
15.5,24.7,17.8,5,4.6,81,4,15,95,93,1007,1005.3,1
14.5,19.6,24.6,4.6,0.6,50,20,28,91,76,1009.1,1010,1
10.2,17.7,0,4,9.8,52,35,26,81,45,1018.5,1019.8,0
6.1,25.5,0,4.2,10.9,22,13,9,67,18,1022.5,1019.6,0
13.1,34.2,0,8.6,11.7,52,31,26,27,14,1017.1,1013.3,0
14,15.9,0,9.8,0,37,22,28,83,79,1019.5,1020.8,0
10.5,18.9,1.8,1.4,2.3,28,19,11,72,67,1020.5,1018.3,1
12.2,24.4,0,2.8,10.6,35,6,19,85,53,1016.2,1012.9,0
11.8,19.2,0.2,5.4,8.3,46,19,31,83,46,1017.4,1016.8,0
8.3,19.4,0,5.8,8.3,46,19,24,65,47,1018.8,1017.5,0
11.1,19.7,0.2,5.4,10.2,33,20,17,67,49,1021.4,1019.6,0
10.6,27.6,0,6,11.6,35,9,28,73,43,1018.6,1014.6,0
14,33.9,0,9.8,9.2,61,39,39,33,12,1012.9,1009.1,0
9.5,29.3,0,11.4,9.6,31,6,11,77,27,1014.3,1012.1,0
15.6,32.7,0.2,7.6,8.4,57,20,28,47,48,1011.6,1012.9,0
13.8,19.3,0.2,9,3.2,35,11,19,75,75,1012.9,1013.1,0
10,18.4,2.8,2.6,7.7,48,20,28,70,49,1021.6,1021.9,1
12.2,21.2,0,6.2,9.2,35,15,13,56,38,1019.7,1015.9,0
11.7,22.3,0,6.2,7.8,41,17,30,77,49,1017.2,1015.5,0
9.7,27.3,0,5.8,11,33,13,11,55,23,1017.4,1012.1,0
10.6,34.6,0,7.2,1.3,93,31,48,33,11,1005.7,997.5,0
9.7,17.8,0,16.2,10.8,85,39,43,53,29,1006.9,1011.1,0
5.1,18.2,0.4,8.2,4.7,46,28,17,48,41,1017.3,1017.2,0
8.8,21.7,0,5,11.8,35,13,20,55,41,1018.8,1014.9,0
11.6,21.2,0,6.8,4.8,35,13,24,62,47,1014.8,1013,0
8.3,33,0,4,11,78,35,37,41,19,1009,1003.3,0
13.2,25,1.6,12,9.8,61,19,28,52,30,1008.6,1008,1
6.8,19.6,0,9.8,13,54,26,33,44,39,1021.5,1022.6,0
7.6,22.6,0,6.4,11.4,39,9,19,59,41,1028.6,1026,0
8.6,32.1,0,5.4,12.1,50,7,19,66,20,1024.5,1019.8,0
12.2,28.5,0,10.4,8.5,37,9,17,82,41,1020.7,1017.8,0
12.4,29.9,0,7.2,3,31,9,17,79,36,1017.9,1015.9,0
17.3,27.4,0,6.6,0,33,6,9,76,63,1015.8,1012.8,0
19.8,37,1.4,1.6,8.8,69,30,28,61,26,1009.8,1004.7,1
13,28.2,0,10.6,12.9,44,20,22,51,28,1014.4,1013,0
10.5,26.3,0,8.6,11.4,37,7,20,69,31,1015.8,1010.3,0
10.8,19.8,0,8.6,5.7,65,30,35,42,52,1010,1010.6,0
7.1,19.2,0.6,7.2,12.5,41,24,17,43,39,1018.6,1017.8,0
8.1,29.8,0,6,12.1,39,9,24,45,9,1016.6,1012.8,0
10.4,25.9,0,8.6,11.7,41,9,26,56,38,1014.8,1014.1,0
11.8,28.2,0,8,10.8,37,13,20,74,31,1016.2,1014.6,0
16,29.7,0,8.6,11,44,9,31,77,37,1017,1014.3,0
14.7,36.8,0,10,13.8,65,44,19,33,10,1013.5,1011.4,0
18.6,40.9,0,16,12.3,63,35,28,17,10,1011.2,1008.1,0
17.9,43.1,0,16,8,76,46,41,18,10,1007,1003.7,0
25.1,39.7,0.6,19.8,6.2,74,39,46,16,45,1001.5,1004.1,0
13.3,20.9,2.2,9.8,5.5,48,24,30,73,44,1020.1,1022.5,1
10,25.7,0,6.8,12.3,31,13,15,58,36,1023.3,1019.3,0
13.7,28.7,0,6.8,13.3,39,7,22,68,42,1018.4,1015.4,0
14.4,35,0,9.3,13.1,50,33,11,40,20,1016.3,1012.2,0
21.4,35.4,0,18,13.3,74,48,43,34,16,1011.3,1005.6,0
9,20.5,1.2,4.4,8.9,48,13,30,63,39,1022.7,1023.5,1
10.6,22.9,0,6,13.3,39,20,15,56,41,1025.7,1023.9,0
11.1,27.2,0,8,13.4,35,9,17,70,34,1023.7,1020.5,0
11.4,35.2,0,7,12.4,44,6,19,50,14,1017,1013.6,0
21.9,39.6,0,15.2,11.4,48,31,20,14,9,1012.9,1010.4,0
20.2,28.7,0,15,2.8,35,19,17,52,37,1013.6,1012.6,0
15.7,27.5,0,8,9,56,17,35,70,56,1016.5,1012.6,0
16.2,28.2,0,8.2,7.8,41,11,24,64,41,1016.9,1013.7,0
14.3,24.5,0,6.4,1.5,31,11,15,74,61,1019.3,1017.1,0
14.1,25.6,0.2,4.2,6.6,37,7,9,63,46,1017.5,1014.1,0
15.5,25.3,0,5.4,6.1,54,17,35,76,56,1017.7,1016.8,0
14.6,23.4,0,6.2,11,46,19,30,71,50,1020.9,1020.5,0
13.4,22.8,0,7.4,8.6,35,19,17,60,51,1023.3,1021.7,0
16.1,24.1,0,6.8,8.1,37,15,22,75,54,1021.5,1019.9,0
15.7,32.1,0,6,10.7,33,9,17,71,26,1017.9,1013.4,0
16.7,38.3,0,11.6,6.7,76,13,20,22,13,1010.1,1006.2,0
15.1,30.3,0.4,7.8,12.2,35,17,17,70,46,1015.1,1013.9,0
15.3,43.6,0,7.6,10.3,87,19,31,33,12,1010.4,1005.3,0
16.5,18,0.8,17.6,1.1,54,20,31,73,79,1016.7,1020.8,0
11.4,19.7,1.4,4.2,5.6,48,26,30,68,49,1030.4,1029.5,1
8.7,25,0.6,5.4,13.3,33,9,19,56,34,1029.5,1025.5,0
12.4,32.8,0,8.6,11.5,57,39,13,38,20,1022.6,1018.7,0
20.6,36.5,0,13.6,12.7,59,37,26,19,12,1016,1012.6,0
13.3,33.5,0,13.8,7.6,31,9,13,77,30,1013.7,1009.2,0
17.5,31,1.8,8.6,5.4,37,13,26,83,58,1010.4,1007.7,1
18.2,27.5,0.8,4.6,2.2,30,11,9,91,67,1009.8,1010.1,0
16.5,23.7,0.6,2.8,2,56,15,17,90,91,1010.8,1008.4,0
16.2,22.6,5.4,2.2,4.9,43,19,24,86,64,1012.7,1013.6,1
14.7,23.7,0,4.6,4.7,44,19,22,91,63,1015.2,1014.4,0
15.3,22.3,1.4,5,8.3,44,20,22,76,47,1016.6,1016.1,1
14.8,29.6,0,6.2,8.8,33,7,6,76,30,1017.8,1014.3,0
17.8,28.9,0,6.6,5.3,63,13,43,75,45,1010.8,1007.8,0
20.9,30.7,0.2,9.6,5.8,61,44,17,64,69,1004.3,1001.2,0
13,19.1,14.6,7.8,1,28,9,13,96,67,1003.4,1001.8,1
11,22.8,7.8,2.8,4.5,33,13,20,89,53,1006.6,1004.3,1
14.5,20.6,8.8,4.8,8.2,56,31,33,73,58,1000.5,1001.7,1
9.8,25,0.6,6,12.7,33,9,20,72,42,1006.4,1005.3,0
14.8,32.4,0,5.6,7.8,44,13,28,82,24,1005.1,1001.5,0
17,21.3,0.2,8.2,2.8,56,20,28,95,72,1007.5,1010.8,0
16.2,21.3,1.6,5,4.5,44,24,28,61,56,1018.7,1019.2,1
13.5,28.8,0,3.8,12.6,33,11,15,73,36,1019.8,1017.2,0
13.5,32.5,0,8,13,44,28,9,46,26,1017.3,1014.3,0
17.2,31.7,0,11,12.7,41,28,26,43,43,1016.5,1015.4,0
15.9,24.3,0,8.4,8.2,41,13,22,79,46,1022,1021.5,0
16.8,26.1,0,6.6,11.9,31,15,9,64,45,1021.8,1018.4,0
15.5,25.1,0,8,9.3,31,11,20,72,46,1016.4,1014.4,0
17.2,25.7,0,7,10.7,39,17,22,70,47,1017.2,1014.8,0
14.6,28.1,0,8,9.6,31,13,13,73,41,1016.5,1012.8,0
16.4,37.5,0,8,11,50,20,17,26,24,1009.1,1005.5,0
12.5,26.7,0.4,8.4,11.4,50,19,30,62,28,1012,1011,0
11.6,27.7,0,8.2,12.7,57,15,24,60,24,1013.6,1009.7,0
13.4,18.8,0.8,9,4.5,52,28,31,58,42,1015.6,1016.8,0
12.8,23.6,0,6.8,6.2,50,26,35,67,60,1015.5,1013.1,0
14.4,22.9,0.2,5,3.7,37,19,15,86,58,1012.5,1010.7,0
14.2,23,0,4,1.7,41,13,30,72,75,1012.4,1013.9,0
13.8,22.3,0,4,9.5,44,11,28,57,37,1021.7,1022.4,0
10,28.1,0,6.8,11.7,33,9,24,71,32,1024.9,1021.3,0
13.6,30.6,0,6.4,0.2,30,24,20,28,26,1022,1021.7,0
18.3,41.4,0,6.8,9.4,74,50,39,30,14,1012.8,1008.8,0
23,29.6,0.2,15,6.7,41,24,24,48,49,1011.8,1008.8,0
18.6,29.9,0.4,6.4,9.3,50,11,17,93,49,1010.3,1009.6,0
12,25.1,0,6.2,8.8,41,19,24,65,38,1018.8,1018.7,0
16.5,24.2,0,6.2,6.3,33,19,17,68,49,1021.6,1019.6,0
15.7,23.9,0,5.6,9.1,41,20,24,58,41,1021.2,1020.1,0
14,25.1,0,6.8,7.7,35,19,20,70,49,1021.7,1019.6,0
13,34.5,0,5.2,10.7,52,7,22,81,14,1017.6,1015,0
17.2,37.3,0,10.4,11.4,46,11,15,29,13,1016.8,1014.4,0
16.4,26.4,0,8.8,10.5,31,13,15,71,42,1021.2,1019.1,0
14.8,39.2,0,5.6,10.6,70,7,33,67,19,1018,1013.2,0
19,24.5,0,9.2,2.3,31,13,24,90,71,1019.5,1019.8,0
15,28.8,0,4,8.8,33,7,22,83,53,1020.5,1017.8,0
17.9,23.9,0,6,1.2,33,0,20,80,83,1019.2,1020.9,0
18.7,40.2,0,2.4,10.1,59,6,24,80,12,1019.4,1014.8,0
17.8,20.2,2.4,3.8,0,26,15,11,92,95,1021.5,1019.5,1
17.8,28.3,9.8,2,9.7,28,4,17,89,60,1017.6,1015.6,1
18.4,21.7,0,4.2,0,28,4,17,88,80,1020.1,1020.4,0
16.9,24.1,1,0.8,4.4,28,11,13,94,68,1021.2,1018.9,0
16.6,20.1,0,3.8,0,39,20,30,84,59,1020.8,1020.3,0
13,27.8,0,3,9.9,44,11,26,75,44,1020.3,1017.3,0
13.4,31.7,0,5.4,9.9,35,4,19,81,33,1019.2,1014.5,0
16.5,33.2,0,9,10.2,69,46,28,48,31,1012.7,1006.8,0
13.7,20.4,8.2,12,5.5,78,11,46,94,40,997.6,1002.2,1
10.8,19.4,3,6.2,1.8,41,22,28,85,47,1014.5,1016.5,1
10.4,22,1.2,3.2,10.9,39,13,6,61,35,1020.6,1019.1,1
8.7,22.7,0,4.8,11.4,43,7,28,87,47,1021.5,1019.2,0
9.5,25.9,0,5.2,11.2,30,7,13,87,32,1019.8,1016.3,0
12.6,29.4,0,5.8,3.1,48,24,26,40,17,1016.5,1015.3,0
16.6,21.1,0.6,5.2,0.3,30,9,11,91,64,1020.8,1018.8,0
12.9,21.9,0.2,3.2,7.8,37,15,26,78,41,1020.7,1019.1,0
11,20.3,0,4,0.6,33,13,13,80,56,1020.3,1019.2,0
12.9,19.5,0.8,2.2,3.7,41,13,24,86,41,1021.4,1020.3,0
7,19.7,0,4,3.9,46,9,28,62,40,1020.1,1018.1,0
12.5,18,0,4.6,0,39,22,28,55,54,1020.3,1019.5,0
13.4,18.3,0,4,2.3,39,13,24,61,45,1020.5,1019.7,0
7,24.3,0,3.2,8.4,33,9,17,65,43,1020.1,1017.3,0
12,27,0,4.6,6.5,57,24,35,63,25,1015.6,1011.3,0
15.1,20.9,0,10,5.2,43,9,30,44,51,1015.9,1019.7,0
8.3,19.8,0,4,9.8,41,15,22,63,40,1026.7,1024.8,0
7.7,23.8,0,4,10.5,26,9,9,67,33,1023.1,1017.4,0
10.5,29.2,0,6.6,7.3,61,26,24,30,14,1013.4,1009.6,0
12.4,15.4,8,7.6,0.1,41,17,26,95,82,1015.6,1016.8,1
7.4,18.6,3.4,2,6.2,33,9,19,67,58,1025.2,1023.4,1
10.2,20.1,0,0.8,5,30,7,20,70,40,1023.5,1022,0
9.1,22.7,0,2.8,4.8,35,19,22,60,34,1022.5,1019.8,0
11.5,23.5,0,4,8.8,41,26,30,54,36,1020.5,1017.6,0
13.8,20.7,0,5,4.7,39,28,20,75,60,1021.8,1021,0
12.6,19.4,0,4,5.7,35,22,19,77,52,1025.6,1023.7,0
11.8,19.7,0,3.2,7.5,31,13,15,73,53,1028.3,1025.9,0
9.8,28,0,2.4,6.3,46,9,30,91,20,1026.9,1022.7,0
11.5,28.7,0,5.6,8.4,46,20,22,38,18,1022.7,1018.4,0
12.4,20.7,0,5.6,3.3,39,9,28,74,80,1022.3,1021.9,0
12,19.3,1.4,2.4,9.2,37,22,20,51,47,1025.7,1021.8,1
8,25.5,0,4,8.2,54,15,26,66,34,1020.8,1016.6,0
12.3,27.6,0,5.8,9.7,54,35,28,50,25,1019.3,1017.4,0
15.5,28.7,0,8,7.7,52,30,31,44,23,1021.7,1018.9,0
19.8,24.8,0,10.2,0.1,54,24,19,35,70,1018.9,1019.4,0
13.1,16.5,17.8,5.6,6.5,39,26,24,64,49,1027.7,1027,1
10.5,18.3,0.2,2.2,5.1,33,7,20,87,69,1030.3,1029,0
7.9,21.1,0.2,1.2,10.2,20,6,9,81,46,1031.9,1028.6,0
8.8,25,0,3.2,10.4,50,30,30,57,31,1030.1,1027.1,0
9,25.7,0,5.2,10.3,50,20,26,54,25,1028.3,1023.7,0
13.7,23.8,0,8.4,4.9,63,41,30,39,38,1021.4,1016.2,0
18,23.6,0,8.8,0,52,33,0,49,49,1018.4,1016.8,0
15.8,19.1,0.8,2.4,0.4,52,22,15,75,86,1015.6,1013.6,0
15.1,23.4,4.6,2.2,8.4,76,31,35,79,57,1015.1,1010.8,1
13.6,16.6,6.6,5.8,7.7,76,33,35,54,47,1007,1011.3,1
7.3,17.6,0,3.2,7.4,59,24,31,66,43,1013.9,1010.1,0
10.9,19.6,0,7,6.1,74,46,35,52,60,1002.5,1000.5,0
6.8,17.2,0.8,3.6,7.1,48,17,24,64,43,1015.7,1014.9,0
10.6,21,0,3.8,9.8,70,30,44,56,45,1016.7,1013,0
13.7,25.1,0,7,9.8,65,48,24,56,32,1015.1,1013.8,0
9.2,25.5,0,5.2,5.8,56,35,31,51,34,1016.8,1014.8,0
14.4,19.1,4,5.8,0,61,9,24,93,92,1011.1,1004.6,1
14.9,21.3,1.6,2.8,2.5,80,57,26,85,73,995.5,995.3,1
12,16.6,10.6,2.2,5,65,33,41,84,47,1003.1,1009,1
10.5,16.8,0,3.6,0.2,54,24,20,62,55,1015.2,1010.3,0
12.7,21.7,0,2.6,3.7,50,22,24,69,53,1013.7,1012.7,0
13.3,21.5,0,4.4,7.3,61,15,22,70,46,1021.3,1019.3,0
12.5,21.1,0,4,8.9,57,24,33,74,54,1020.2,1016.4,0
12.9,21.3,0,5.4,8.1,56,19,39,51,54,1014.6,1014.5,0
6.3,18.7,0,4,5.6,78,31,33,68,62,1017.9,1012.9,0
11.1,17.5,0.4,4.2,1,52,28,28,55,47,1017.2,1017.6,0
10.3,17,2,1.4,9.1,52,11,15,86,39,1016.8,1014.3,1
11.2,14.4,2.8,2.6,0,39,15,19,89,80,1010.8,1009.3,1
8.5,13.4,14.4,1.6,5.3,44,15,17,65,65,1020.8,1021.2,1
8.7,12.8,2.8,0.8,3.3,28,9,9,92,88,1026.3,1026.6,1
4.9,14.6,0.8,1.8,7.8,26,7,13,93,52,1031.1,1029.5,0
3.4,14.6,0,1,5.9,20,7,9,88,53,1032.5,1030.2,0
5.8,14.4,0,1.4,0.2,17,6,6,79,51,1029.7,1026.6,0
7.6,16.6,0,1,7.4,19,7,7,71,34,1027.5,1024.8,0
5,14.2,0,2.6,5.9,46,9,28,67,50,1024.4,1020.3,0
9.7,18.9,0,5.2,5.2,63,20,31,59,45,1014.5,1008,0
9.6,15.3,0,4,7.2,52,22,33,61,46,1010.8,1008.7,0
6.8,15.7,8.2,3.8,7.9,35,11,9,69,44,1018.7,1019.3,1
7.7,14.1,0,3,5.8,46,19,22,70,60,1021.1,1017.1,0
7.9,15.1,1.6,3,6.7,35,17,19,78,56,1021.6,1020.3,1
8.5,18.7,0.2,2.4,6.3,26,9,9,79,48,1027.7,1026.3,0
10.2,18.1,0,2.6,10.3,41,13,20,72,54,1031.2,1027.6,0
10,18.2,0,4,8,50,15,24,66,49,1025.9,1021.5,0
12.5,15.6,0.4,3.6,4.5,41,6,15,77,62,1022.7,1022.7,0
7.1,21.6,0,2,9.6,50,13,28,65,43,1018,1013.1,0
15.3,16.4,0.2,7.2,0.8,59,26,11,55,85,1005.9,1007,0
6.9,13.6,9.4,2,9.7,43,13,26,65,55,1011.9,1012.1,1
9.5,14.8,1.2,2.4,0.8,33,11,9,80,72,1015.8,1012.8,1
7.8,16,5.6,1.6,5.1,35,7,6,83,89,1014.4,1012.8,1
7,13.4,11,1.8,9.2,24,0,13,83,63,1018,1016.9,1
3.7,12.7,0,2.4,7.9,26,9,15,93,77,1016.6,1013.5,0
6.5,13,1.2,1.6,7,35,13,13,85,63,1015.2,1015.7,1
7.2,14.4,0.6,2.4,3.2,24,9,11,74,46,1022.1,1020.5,0
9.3,16.3,0,2.4,8.2,46,15,20,57,46,1022.3,1018.4,0
10.5,19,0,4.6,2.4,33,9,9,57,41,1020.6,1019,0
8.7,20.4,0,4,9,41,9,19,60,37,1025,1021.5,0
10.2,16.8,0,4,0,50,9,19,56,53,1020,1015.2,0
12.8,20.2,0.8,1.6,7.3,35,11,9,74,47,1013.6,1012.6,0
11.6,15.5,0,3.4,1.2,20,6,9,77,69,1018.5,1015.5,0
9.6,15,0.4,2,0.3,30,9,13,82,73,1014.3,1007.9,0
10,15.7,0.2,1.6,3.1,37,9,7,73,54,1008,1008.9,0
10.1,16.9,0.2,1.8,5.9,28,13,9,62,56,1022.7,1023.8,0
12.8,18.4,0,2.6,7,24,11,2,65,56,1029.7,1027.7,0
9.2,21.5,0,3.6,7.9,26,9,13,75,50,1029.7,1027.2,0
9.6,21,0,3.8,10.1,43,11,24,83,45,1029.7,1025.1,0
13.1,23.3,0,5.4,8.3,56,26,30,56,45,1021.5,1016.3,0
16,16.7,0.6,5.4,0,44,20,7,82,89,1009.7,1008.2,0
11.5,14.3,9.4,3,1.4,37,11,11,81,67,1016.4,1016.8,1
7.3,17,1.2,1.2,7.2,28,13,15,69,57,1019.5,1016.8,1
9.9,13.6,1.6,1.6,0.2,22,9,9,93,80,1021.8,1020.5,1
9.6,14.6,9,3.6,0,20,9,9,97,96,1020.1,1015.5,1
10.5,16.1,20.6,1.2,5.3,44,9,26,93,56,1005.3,1004,1
8.7,14.6,2,3.2,1,37,11,7,79,98,1006.7,1009.2,1
9,15.7,13.4,1.2,3.7,33,9,9,63,48,1018,1016.4,1
10.4,26.5,0,10.4,12.4,28,4,15,56,27,1016.2,1015.8,0
10.5,31.2,0,6.6,11.7,35,7,20,56,17,1022.6,1019,0
17.2,33.7,0,8,5.4,44,13,22,35,17,1017.1,1014.1,0
14.8,37.4,0,8,9.9,48,15,30,42,13,1010.6,1006,0
24,37.5,0,12.8,7.1,57,30,31,28,47,1006.1,1003.4,0
15,17.7,17.8,11.6,0.5,33,20,13,99,99,1012.7,1011.1,1
14.6,22,42.6,3,8.5,33,13,19,91,55,1017,1015.9,1
11.3,23.1,0,3.6,7.5,28,13,6,80,51,1017.5,1014.2,0
13,22.2,0,5.4,7.7,22,15,11,66,47,1016.4,1014.7,0
9.6,25.8,0,4.6,12.1,33,11,13,62,30,1018.6,1016,0
10.5,24.1,0,6,11.6,43,13,20,65,39,1018.8,1017.1,0
9.6,25.6,0,7.6,13.3,39,20,11,50,19,1023.8,1021.3,0
10.7,30.1,0,7.2,13.4,20,11,7,53,22,1023.2,1019.8,0
14.7,33.3,0,6.2,12.8,28,11,9,32,15,1019.3,1017,0
17.7,33.9,0,8.8,13.4,39,19,22,52,23,1018.7,1015.9,0
18.2,30.2,0,12,12.6,46,15,28,53,37,1019.5,1016.9,0
19.1,32.2,3.8,11.4,8.4,50,28,30,48,32,1018.2,1015.8,1
19.9,29.4,0,7.8,9.9,30,6,17,95,44,1017.9,1016,0
17.6,31.7,0,5.6,7.5,41,9,11,81,35,1015.3,1011.4,0
17.9,19.6,15.8,9.4,0.4,57,9,26,97,97,1009.5,1007.9,1
12.8,19.3,13.2,1.8,3.6,46,24,26,72,55,1015.1,1014.9,1
12.1,17.7,0,5,1,41,20,9,70,83,1016.4,1013.8,0
11.8,21.2,10.2,1,2.4,35,17,13,90,87,1013,1010.8,1
16.5,25.8,3.4,2.6,5.7,43,13,19,90,63,1010.3,1008.5,1
16,27.9,19.4,4.8,12,37,17,13,74,37,1011.8,1009.5,1
16.4,32.3,1,6.4,13.1,46,11,19,60,26,1010.9,1008.6,0
18.8,33.7,0,8,13.5,52,19,9,63,32,1009.2,1007.3,0
18.7,33.3,49.2,13.6,9.1,39,9,9,73,31,1010,1007.2,1
20.4,31.5,4.2,7,4.1,44,13,20,67,46,1007.1,1004.4,1
19.9,30.8,13.2,6.6,6.6,61,24,26,90,57,1005.2,1003.3,1
18.8,25.1,39,10.2,5,37,0,15,98,88,1004.7,1003.7,1
14.5,27.2,6.4,1.8,12.5,39,7,20,73,46,1011.7,1009.9,1
13.2,22.8,0,7,11.3,44,15,20,66,35,1015.4,1012.4,0
11.2,24.5,0,10.2,12.5,48,15,24,67,38,1010.8,1005.5,0
13.2,23.8,0,5.8,13.3,43,17,20,55,33,1009.5,1009.2,0
10.5,24.8,0,6.6,13.1,22,9,9,57,34,1016.4,1014,0
12.8,30.3,0,5.8,12,26,7,13,60,25,1013.7,1009.6,0
10,24.8,0,9.4,11.8,39,17,20,50,29,1011.5,1008.4,0
13.7,26.3,0,6.8,11.1,48,9,26,48,32,1007.2,1004.4,0
14.6,24.3,0,9,12.2,46,24,22,48,28,1007.4,1005.4,0
